                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.78958,                 0.7284,                 1.3586,                0.75015,                 0.6904,                0.70881,                0.38035,                 1.5577,                 1.3477,                 2.1958,               0.006832,               0.006832,               0.006832
                     83,                0.78474,                0.73108,                 1.3511,                0.78807,                0.71517,                0.72208,                0.38278,                 1.5299,                   1.36,                  2.166,              0.0067924,              0.0067924,              0.0067924
                     84,                0.78692,                0.71994,                 1.3548,                0.79508,                0.69673,                0.71799,                0.37543,                 1.6046,                  1.346,                 2.2264,              0.0067528,              0.0067528,              0.0067528
                     85,                0.75938,                0.70696,                  1.335,                0.76881,                0.62848,                0.67459,                0.33104,                 1.6802,                 1.4479,                 2.2477,              0.0067132,              0.0067132,              0.0067132
                     86,                0.77964,                0.72035,                  1.349,                0.78446,                0.69862,                0.72104,                0.37652,                 1.5666,                 1.3498,                 2.2069,              0.0066736,              0.0066736,              0.0066736
                     87,                0.76482,                0.71631,                 1.3378,                0.76061,                0.64924,                0.68445,                0.33919,                 1.6696,                  1.448,                 2.2964,               0.006634,               0.006634,               0.006634
                     88,                0.77163,                0.70937,                 1.3473,                0.73808,                0.64087,                0.65693,                0.34431,                 1.6091,                 1.4097,                 2.1787,              0.0065944,              0.0065944,              0.0065944
                     89,                  0.757,                0.70668,                 1.3312,                0.74682,                0.65015,                0.66916,                0.34349,                 1.6479,                 1.4563,                 2.2452,              0.0065548,              0.0065548,              0.0065548
                     90,                0.76494,                0.70352,                 1.3406,                0.79413,                0.67802,                0.70751,                0.37391,                 1.5607,                 1.3491,                 2.1664,              0.0065152,              0.0065152,              0.0065152
                     91,                0.78444,                0.71757,                 1.3501,                0.77586,                0.65944,                0.69701,                0.37153,                 1.5244,                 1.3587,                 2.1726,              0.0064756,              0.0064756,              0.0064756
                     92,                0.75123,                0.69667,                 1.3289,                0.73186,                0.65635,                0.68092,                0.34704,                 1.6272,                 1.4288,                 2.2358,               0.006436,               0.006436,               0.006436
                     93,                0.77009,                0.72009,                 1.3421,                0.73086,                0.63055,                0.68957,                0.36777,                 1.6181,                 1.4423,                 2.2128,              0.0063964,              0.0063964,              0.0063964
                     94,                0.75716,                0.69508,                  1.332,                0.75587,                0.65015,                0.67299,                0.34156,                 1.6309,                 1.4486,                 2.2736,              0.0063568,              0.0063568,              0.0063568
                     95,                 0.7563,                0.70247,                 1.3275,                 0.8153,                0.68329,                0.72614,                0.37984,                 1.5542,                 1.3061,                 2.1957,              0.0063172,              0.0063172,              0.0063172
                     96,                 0.7481,                0.70032,                 1.3186,                0.79132,                0.72789,                0.73593,                0.37232,                 1.5648,                 1.2488,                 2.2076,              0.0062776,              0.0062776,              0.0062776
                     97,                0.75464,                0.70539,                 1.3296,                0.82241,                0.67802,                0.73039,                 0.3914,                 1.5529,                 1.3045,                 2.1965,               0.006238,               0.006238,               0.006238
                     98,                0.75669,                 0.6963,                 1.3272,                0.71889,                0.65015,                0.67747,                0.36093,                 1.5435,                  1.403,                 2.2125,              0.0061984,              0.0061984,              0.0061984
                     99,                 0.7347,                0.67565,                 1.3076,                0.84177,                0.71517,                0.75625,                0.41321,                 1.5424,                 1.2989,                 2.1515,              0.0061588,              0.0061588,              0.0061588
                    100,                0.72582,                0.66906,                 1.3028,                0.76975,                0.73486,                0.72803,                0.38827,                 1.5596,                 1.2785,                 2.1997,              0.0061192,              0.0061192,              0.0061192
                    101,                0.73069,                 0.6802,                 1.3096,                 0.7226,                0.64517,                0.67182,                0.35628,                 1.6269,                 1.4138,                  2.226,              0.0060796,              0.0060796,              0.0060796
                    102,                0.73367,                0.67722,                 1.3172,                0.69801,                0.67492,                0.68874,                0.34227,                 1.6475,                 1.4357,                 2.2417,                0.00604,                0.00604,                0.00604
                    103,                0.73119,                0.67658,                 1.3112,                0.81202,                0.66868,                0.72096,                0.38786,                 1.5899,                 1.2945,                 2.2049,              0.0060004,              0.0060004,              0.0060004
                    104,                0.73205,                0.67777,                 1.3018,                0.76412,                0.68111,                0.71407,                0.37102,                 1.5639,                 1.3489,                 2.1873,              0.0059608,              0.0059608,              0.0059608
                    105,                0.74546,                0.68185,                 1.3221,                0.76137,                0.73097,                0.73656,                0.39233,                 1.5396,                  1.265,                 2.1582,              0.0059212,              0.0059212,              0.0059212
                    106,                0.72217,                0.67831,                 1.3008,                0.77755,                0.65944,                0.70861,                0.36662,                 1.5659,                 1.4229,                 2.2186,              0.0058816,              0.0058816,              0.0058816
                    107,                0.73166,                0.67007,                  1.307,                 0.7561,                0.63467,                0.71237,                0.35741,                 1.5976,                 1.4184,                 2.2249,               0.005842,               0.005842,               0.005842
                    108,                0.73265,                0.67449,                 1.3136,                0.82177,                0.65944,                0.71034,                0.37303,                 1.5667,                 1.3639,                  2.189,              0.0058024,              0.0058024,              0.0058024
                    109,                0.72691,                0.66784,                  1.305,                0.81961,                0.67519,                0.71582,                0.38052,                 1.5865,                 1.3065,                 2.2141,              0.0057628,              0.0057628,              0.0057628
                    110,                0.71038,                0.65984,                 1.2927,                0.78105,                0.72446,                0.73791,                0.38721,                 1.5067,                 1.3206,                 2.1521,              0.0057232,              0.0057232,              0.0057232
                    111,                0.71554,                0.66019,                 1.2945,                0.74149,                 0.6935,                0.70836,                0.37605,                 1.5438,                 1.3378,                 2.1656,              0.0056836,              0.0056836,              0.0056836
                    112,                0.71916,                0.65559,                 1.3049,                0.79695,                0.66834,                0.71585,                0.37564,                 1.5502,                 1.3263,                  2.167,               0.005644,               0.005644,               0.005644
                    113,                0.71869,                0.66821,                 1.2902,                0.75816,                0.68912,                0.70912,                0.35102,                 1.6086,                 1.3766,                 2.2376,              0.0056044,              0.0056044,              0.0056044
                    114,                0.70372,                0.65143,                 1.2855,                0.78457,                0.68421,                0.71323,                0.39422,                 1.5327,                  1.276,                 2.1845,              0.0055648,              0.0055648,              0.0055648
                    115,                0.71549,                0.65358,                 1.2879,                0.78781,                0.72418,                  0.735,                0.40098,                 1.5239,                 1.2867,                 2.1525,              0.0055252,              0.0055252,              0.0055252
                    116,                0.70525,                0.64687,                 1.2853,                0.78599,                0.70898,                0.71674,                0.38681,                 1.5715,                 1.2852,                  2.203,              0.0054856,              0.0054856,              0.0054856
                    117,                0.69917,                0.64348,                 1.2785,                0.81791,                0.72315,                0.74856,                0.41235,                 1.5445,                 1.2396,                 2.1697,               0.005446,               0.005446,               0.005446
                    118,                0.69605,                0.63815,                 1.2834,                0.79165,                0.69659,                0.72655,                0.38434,                 1.5703,                  1.309,                 2.2275,              0.0054064,              0.0054064,              0.0054064
                    119,                0.70976,                0.65481,                 1.2895,                0.83136,                0.68679,                0.73891,                0.40416,                 1.5546,                 1.2788,                 2.1715,              0.0053668,              0.0053668,              0.0053668
                    120,                0.69873,                0.64548,                  1.283,                0.78803,                0.70209,                0.72305,                0.39534,                 1.5372,                 1.2782,                 2.1717,              0.0053272,              0.0053272,              0.0053272
                    121,                0.68662,                0.63283,                 1.2709,                0.76529,                0.69654,                0.71092,                0.37481,                  1.553,                 1.3342,                 2.1812,              0.0052876,              0.0052876,              0.0052876
                    122,                0.69334,                0.64224,                 1.2731,                0.77296,                0.71517,                0.71895,                0.38003,                 1.5458,                 1.3127,                 2.1833,               0.005248,               0.005248,               0.005248
                    123,                0.69822,                0.62007,                 1.2809,                 0.7547,                0.69969,                0.70672,                0.37497,                 1.5354,                 1.3405,                 2.1652,              0.0052084,              0.0052084,              0.0052084
                    124,                0.68412,                0.63074,                 1.2702,                 0.7413,                0.66536,                0.68265,                 0.3558,                 1.5628,                 1.4152,                 2.1908,              0.0051688,              0.0051688,              0.0051688
                    125,                0.68972,                0.62782,                 1.2706,                0.77218,                0.70279,                 0.7132,                0.38231,                 1.5466,                 1.2988,                 2.1612,              0.0051292,              0.0051292,              0.0051292
                    126,                0.68331,                0.63045,                 1.2659,                0.75988,                0.70898,                0.72238,                 0.3874,                 1.5596,                 1.3056,                 2.1935,              0.0050896,              0.0050896,              0.0050896
                    127,                 0.6933,                0.63916,                 1.2758,                0.76788,                0.65548,                0.69458,                0.35693,                 1.5918,                 1.3462,                 2.2236,                0.00505,                0.00505,                0.00505
                    128,                0.67561,                0.61543,                   1.26,                0.80495,                0.72826,                0.73707,                0.40053,                 1.5465,                 1.2677,                 2.1729,              0.0050104,              0.0050104,              0.0050104
                    129,                0.68285,                0.62828,                 1.2748,                0.76024,                0.61846,                0.69437,                0.35542,                  1.607,                 1.3905,                 2.1829,              0.0049708,              0.0049708,              0.0049708
                    130,                0.67171,                 0.6194,                 1.2616,                0.78544,                0.70898,                0.71555,                0.39283,                 1.5695,                 1.2828,                 2.1369,              0.0049312,              0.0049312,              0.0049312
                    131,                0.68613,                0.62978,                  1.271,                0.74253,                0.70536,                0.70044,                0.37242,                 1.5977,                 1.3758,                 2.1787,              0.0048916,              0.0048916,              0.0048916
                    132,                0.66618,                0.62564,                 1.2571,                0.73602,                0.66466,                0.69394,                0.35207,                 1.6175,                 1.4057,                 2.2014,               0.004852,               0.004852,               0.004852
                    133,                0.67418,                0.61205,                 1.2634,                0.79616,                0.68421,                0.71971,                0.37585,                 1.5713,                 1.3043,                 2.2183,              0.0048124,              0.0048124,              0.0048124
                    134,                0.66878,                0.61726,                 1.2561,                 0.8036,                0.67492,                0.71577,                 0.3812,                 1.5854,                 1.3259,                 2.2149,              0.0047728,              0.0047728,              0.0047728
                    135,                0.66928,                0.61579,                 1.2633,                0.75865,                0.68421,                 0.6967,                0.37247,                 1.5751,                 1.3172,                 2.1828,              0.0047332,              0.0047332,              0.0047332
                    136,                0.66654,                0.60562,                 1.2569,                0.79583,                 0.6935,                0.71604,                0.39804,                  1.544,                 1.2784,                 2.1503,              0.0046936,              0.0046936,              0.0046936
                    137,                0.66858,                0.61583,                 1.2542,                 0.7476,                0.69694,                 0.6968,                0.38359,                 1.5217,                 1.3143,                 2.1295,               0.004654,               0.004654,               0.004654
                    138,                0.65733,                0.60463,                 1.2501,                0.75968,                0.68731,                0.70274,                0.38383,                 1.5357,                 1.3267,                 2.1576,              0.0046144,              0.0046144,              0.0046144
                    139,                0.65912,                0.60681,                  1.249,                0.79328,                 0.6891,                0.71938,                0.38958,                  1.568,                 1.3206,                 2.2098,              0.0045748,              0.0045748,              0.0045748
