                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.60209,                0.59249,                 1.1036,                0.90668,                0.79958,                0.89956,                0.76762,                0.43008,                0.38157,                0.99994,               0.006337,               0.006337,               0.006337
                    114,                0.60376,                0.58527,                  1.106,                0.91768,                0.79253,                0.89979,                0.76771,                 0.4274,                0.37947,                 0.9977,               0.006304,               0.006304,               0.006304
                    115,                0.59878,                0.57468,                  1.101,                0.91119,                0.79656,                0.91292,                 0.7821,                0.42727,                0.37782,                0.99602,               0.006271,               0.006271,               0.006271
                    116,                0.59081,                0.57522,                 1.0982,                0.90332,                0.80095,                0.91061,                0.78053,                  0.429,                0.37938,                0.99652,               0.006238,               0.006238,               0.006238
                    117,                0.59383,                0.58135,                 1.0939,                0.90217,                0.81063,                0.91662,                 0.7866,                 0.4274,                0.37774,                0.99389,               0.006205,               0.006205,               0.006205
                    118,                0.60104,                0.58522,                 1.1044,                0.89344,                 0.8123,                0.92028,                0.78756,                0.42527,                0.37686,                0.99217,               0.006172,               0.006172,               0.006172
                    119,                0.59897,                0.58018,                 1.1004,                0.90889,                0.79797,                 0.9198,                0.78295,                0.42336,                0.37654,                0.99115,               0.006139,               0.006139,               0.006139
                    120,                0.59821,                0.57731,                 1.0988,                0.91293,                0.79846,                0.91981,                0.78853,                0.42394,                0.37385,                0.99134,               0.006106,               0.006106,               0.006106
                    121,                0.58382,                0.57773,                 1.0899,                 0.9036,                0.80016,                0.91033,                0.77599,                 0.4215,                0.37285,                0.98945,               0.006073,               0.006073,               0.006073
                    122,                0.59564,                0.57585,                 1.0957,                0.90239,                0.80031,                0.91253,                0.77742,                0.41973,                0.37029,                0.98823,                0.00604,                0.00604,                0.00604
                    123,                0.58327,                0.56557,                 1.0891,                0.90095,                0.80337,                0.92274,                0.79005,                0.42121,                0.37037,                0.98894,               0.006007,               0.006007,               0.006007
                    124,                0.59344,                0.57524,                 1.0954,                0.90801,                0.80531,                0.92181,                 0.7935,                0.42103,                0.37126,                0.98945,               0.005974,               0.005974,               0.005974
                    125,                0.58712,                0.57091,                 1.0914,                0.91491,                0.80085,                0.92376,                0.79316,                0.42062,                0.36952,                0.98852,               0.005941,               0.005941,               0.005941
                    126,                0.58132,                0.56345,                 1.0859,                0.91506,                0.79583,                0.92498,                0.79421,                0.41941,                0.36923,                0.98757,               0.005908,               0.005908,               0.005908
                    127,                0.58905,                0.56353,                 1.0907,                0.91763,                0.79389,                0.91943,                0.78599,                0.41983,                0.37082,                0.98699,               0.005875,               0.005875,               0.005875
                    128,                0.58457,                0.56001,                 1.0879,                0.91873,                0.79219,                0.91984,                0.78371,                0.41971,                 0.3699,                 0.9874,               0.005842,               0.005842,               0.005842
                    129,                0.59434,                0.57654,                 1.0957,                0.92667,                0.78428,                0.91871,                0.78063,                0.41893,                0.36993,                0.98674,               0.005809,               0.005809,               0.005809
                    130,                0.58267,                 0.5569,                 1.0871,                0.88864,                0.81193,                0.91969,                0.78183,                0.41822,                0.37018,                 0.9859,               0.005776,               0.005776,               0.005776
