                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                  2.108,                 2.0135,                 1.3393,                0.42528,                0.31281,                0.27034,                0.09861,                  2.327,                 2.3247,                 1.5088,               0.008251,               0.008251,               0.008251
                     56,                 2.1198,                 2.0185,                 1.3289,                0.34382,                0.31773,                0.24424,                 0.0934,                 2.3289,                 2.3888,                 1.5068,               0.008218,               0.008218,               0.008218
                     57,                 2.1344,                 2.0762,                  1.349,                0.38101,                0.28325,                0.23708,                0.09329,                 2.2727,                  2.336,                  1.499,               0.008185,               0.008185,               0.008185
                     58,                 2.1303,                 2.0237,                  1.319,                0.42816,                0.28079,                0.24945,                 0.0941,                 2.3553,                 2.3846,                 1.5221,               0.008152,               0.008152,               0.008152
                     59,                 2.0646,                  2.033,                 1.3096,                0.35203,                 0.2734,                0.24833,                0.09074,                 2.3087,                  2.375,                 1.4918,               0.008119,               0.008119,               0.008119
                     60,                 2.1033,                 1.9968,                 1.3117,                0.31961,                0.30296,                0.23756,                0.09034,                 2.3285,                 2.3895,                 1.4694,               0.008086,               0.008086,               0.008086
                     61,                 2.0666,                 1.9881,                 1.2916,                  0.385,                0.30684,                0.25532,                0.09763,                 2.2816,                 2.3374,                 1.4669,               0.008053,               0.008053,               0.008053
                     62,                 2.0556,                 1.9302,                 1.3129,                0.43065,                0.30554,                0.26599,                0.10296,                 2.3366,                 2.3415,                 1.4785,                0.00802,                0.00802,                0.00802
                     63,                 2.0705,                 1.9893,                 1.3113,                0.43719,                0.31281,                 0.2533,                0.09198,                  2.307,                 2.3681,                 1.4657,               0.007987,               0.007987,               0.007987
                     64,                 2.0901,                 1.9869,                 1.3072,                0.30694,                0.31527,                0.22761,                0.09272,                 2.2599,                 2.3752,                 1.4486,               0.007954,               0.007954,               0.007954
                     65,                 2.0294,                 1.9411,                 1.3016,                0.41749,                0.29557,                0.26023,                0.10167,                 2.2504,                 2.3907,                 1.4348,               0.007921,               0.007921,               0.007921
                     66,                 2.0647,                 1.9493,                 1.3135,                0.36297,                0.31527,                0.25154,                0.09824,                 2.3568,                 2.4684,                 1.4849,               0.007888,               0.007888,               0.007888
                     67,                  2.069,                 1.9535,                 1.3299,                0.36594,                0.31527,                 0.2391,                0.09482,                 2.3199,                 2.3533,                 1.5014,               0.007855,               0.007855,               0.007855
                     68,                 2.0332,                 1.9139,                 1.2947,                0.34259,                0.31773,                0.25758,                0.10014,                 2.2946,                 2.4047,                 1.4838,               0.007822,               0.007822,               0.007822
                     69,                 2.0299,                 1.8904,                 1.2878,                0.34838,                0.31281,                0.23734,                0.08998,                 2.3342,                 2.4198,                 1.4956,               0.007789,               0.007789,               0.007789
                     70,                 2.0162,                  1.858,                 1.2781,                0.37071,                0.32502,                0.25162,                0.09638,                 2.3304,                 2.4014,                 1.5135,               0.007756,               0.007756,               0.007756
                     71,                 1.9847,                  1.794,                 1.2835,                0.42686,                0.27833,                0.24777,                0.09215,                 2.3567,                 2.3153,                 1.4944,               0.007723,               0.007723,               0.007723
                     72,                 2.0252,                 1.8435,                  1.285,                0.44703,                0.27094,                 0.2323,                 0.0846,                 2.3878,                 2.4396,                 1.4847,                0.00769,                0.00769,                0.00769
                     73,                  1.971,                  1.809,                 1.2612,                0.39846,                0.31773,                0.26132,                0.10614,                 2.3258,                 2.3302,                 1.4819,               0.007657,               0.007657,               0.007657
                     74,                 1.9866,                 1.8497,                  1.282,                0.35194,                0.30898,                0.22928,                0.09038,                 2.3297,                 2.3504,                 1.4987,               0.007624,               0.007624,               0.007624
                     75,                 2.0012,                  1.816,                  1.279,                0.35524,                0.28079,                0.23649,                0.08931,                 2.3362,                 2.4392,                 1.4985,               0.007591,               0.007591,               0.007591
                     76,                 1.9972,                 1.8768,                 1.2822,                0.34988,                0.29557,                0.22953,                 0.0894,                 2.3021,                 2.4324,                 1.4781,               0.007558,               0.007558,               0.007558
                     77,                  2.023,                 1.8372,                 1.2878,                0.36346,                0.30296,                0.23279,                0.09019,                  2.329,                 2.4693,                 1.4883,               0.007525,               0.007525,               0.007525
                     78,                 1.9983,                 1.8384,                 1.2904,                0.35155,                 0.3202,                 0.2341,                0.08956,                 2.3162,                 2.4018,                 1.4733,               0.007492,               0.007492,               0.007492
                     79,                 1.9913,                 1.8306,                  1.258,                0.40668,                 0.2931,                0.24221,                 0.0883,                 2.3674,                 2.3598,                 1.5231,               0.007459,               0.007459,               0.007459
                     80,                 1.9722,                 1.7812,                 1.2921,                0.42162,                 0.2783,                0.24744,                0.09689,                 2.3111,                  2.386,                  1.508,               0.007426,               0.007426,               0.007426
                     81,                 1.9443,                 1.7464,                 1.2456,                0.40066,                0.29967,                 0.2316,                 0.0845,                 2.3538,                 2.4626,                 1.4965,               0.007393,               0.007393,               0.007393
                     82,                  1.958,                 1.7712,                 1.2427,                0.34226,                0.32759,                 0.2413,                0.09763,                 2.2794,                 2.3732,                 1.4594,                0.00736,                0.00736,                0.00736
                     83,                 1.9788,                 1.7777,                 1.2614,                0.37643,                0.28818,                0.24725,                0.09952,                 2.3006,                 2.4213,                 1.4733,               0.007327,               0.007327,               0.007327
                     84,                 1.9544,                 1.7688,                 1.2541,                0.39582,                0.28818,                0.24344,                0.09634,                 2.2978,                 2.4172,                 1.4922,               0.007294,               0.007294,               0.007294
                     85,                 1.9667,                 1.6877,                 1.2322,                0.36444,                0.28812,                0.25046,                0.09998,                 2.3796,                 2.4069,                 1.5185,               0.007261,               0.007261,               0.007261
                     86,                 1.9086,                 1.6764,                 1.2318,                0.37292,                0.30788,                0.23655,                0.09381,                 2.3214,                 2.3937,                 1.4953,               0.007228,               0.007228,               0.007228
                     87,                 1.9119,                 1.6474,                 1.2236,                0.36282,                0.28325,                0.25225,                0.10288,                 2.3504,                 2.4071,                 1.4983,               0.007195,               0.007195,               0.007195
                     88,                 1.9466,                 1.7116,                 1.2436,                0.39769,                0.28571,                0.23441,                 0.0953,                 2.3249,                 2.4534,                  1.481,               0.007162,               0.007162,               0.007162
                     89,                 1.9121,                 1.6472,                 1.2418,                0.37579,                0.30788,                0.23854,                0.09501,                 2.3434,                 2.4686,                 1.5012,               0.007129,               0.007129,               0.007129
                     90,                 1.8452,                 1.6154,                 1.2191,                0.38181,                0.32759,                0.24583,                0.09462,                 2.3417,                 2.3996,                 1.5009,               0.007096,               0.007096,               0.007096
                     91,                  1.876,                 1.6586,                 1.2271,                 0.3813,                0.32333,                0.24813,                 0.0967,                 2.3368,                 2.4347,                 1.4956,               0.007063,               0.007063,               0.007063
                     92,                 1.9035,                 1.6754,                 1.2423,                0.42663,                0.26108,                0.24227,                0.09297,                 2.3857,                 2.3877,                 1.5184,                0.00703,                0.00703,                0.00703
                     93,                 1.8938,                 1.6257,                 1.2404,                0.39457,                0.31281,                0.25425,                0.09768,                 2.3788,                 2.4028,                 1.5528,               0.006997,               0.006997,               0.006997
                     94,                 1.8726,                 1.6247,                 1.2324,                0.35344,                0.31034,                0.23731,                0.09555,                 2.3145,                 2.4061,                 1.4976,               0.006964,               0.006964,               0.006964
                     95,                 1.8958,                 1.6405,                  1.225,                0.42519,                0.29557,                0.25223,                0.09799,                  2.363,                 2.3561,                    1.5,               0.006931,               0.006931,               0.006931
                     96,                 1.8659,                 1.6076,                 1.2317,                0.45439,                0.27833,                0.25747,                0.10238,                 2.3337,                 2.3882,                 1.5083,               0.006898,               0.006898,               0.006898
                     97,                 1.8778,                 1.5959,                 1.2152,                0.40621,                 0.2931,                0.23899,                0.08904,                 2.3831,                 2.4672,                 1.5108,               0.006865,               0.006865,               0.006865
                     98,                 1.8654,                 1.5959,                 1.2289,                0.36271,                0.33005,                0.24696,                0.09486,                  2.398,                 2.4621,                 1.5276,               0.006832,               0.006832,               0.006832
                     99,                 1.8403,                  1.561,                 1.2366,                0.41946,                0.30542,                0.24758,                0.09772,                 2.4501,                 2.4702,                  1.558,               0.006799,               0.006799,               0.006799
                    100,                 1.8659,                 1.5726,                  1.225,                0.36646,                0.28922,                 0.2363,                0.09534,                 2.3504,                 2.4851,                 1.5271,               0.006766,               0.006766,               0.006766
                    101,                 1.8729,                 1.5633,                 1.2187,                0.37231,                0.30296,                0.23778,                0.09505,                 2.4124,                  2.374,                 1.5397,               0.006733,               0.006733,               0.006733
                    102,                 1.8635,                 1.5872,                 1.2262,                0.34726,                0.33251,                0.24223,                0.09049,                 2.3762,                 2.4656,                 1.5437,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.8554,                 1.5837,                 1.2314,                0.39009,                0.30296,                0.23487,                0.09575,                 2.3208,                 2.4042,                  1.536,               0.006667,               0.006667,               0.006667
                    104,                 1.8342,                 1.5677,                   1.21,                0.39693,                0.26847,                0.22447,                0.08743,                 2.4515,                   2.46,                 1.5631,               0.006634,               0.006634,               0.006634
                    105,                 1.8207,                 1.5421,                 1.1963,                0.40062,                0.25862,                0.23721,                0.09578,                 2.4341,                 2.3987,                   1.55,               0.006601,               0.006601,               0.006601
                    106,                 1.8304,                 1.5067,                 1.1939,                0.42157,                0.27094,                0.24928,                0.09064,                 2.4427,                 2.4653,                 1.5395,               0.006568,               0.006568,               0.006568
